"Onderwerp";"Voertuigtype";"Perioden";"Eenheid";"Waarde"
"||Totaal";"Totaal bedrijfsvoertuigen";"2000";"aantal";"883627"
"||Totaal";"Totaal bedrijfsvoertuigen";"2001";"aantal";"950074"
"||Totaal";"Totaal bedrijfsvoertuigen";"2002";"aantal";"996931"
"||Totaal";"Totaal bedrijfsvoertuigen";"2003";"aantal";"1038548"
"||Totaal";"Totaal bedrijfsvoertuigen";"2004";"aantal";"1898932"
"||Totaal";"Totaal bedrijfsvoertuigen";"2005";"aantal";"1992670"
"||Totaal";"Totaal bedrijfsvoertuigen";"2006";"aantal";"2007699"
"||Totaal";"Totaal bedrijfsvoertuigen";"2007";"aantal";"2037704"
"||Totaal";"Totaal bedrijfsvoertuigen";"2008";"aantal";"2090469"
"||Totaal";"Totaal bedrijfsvoertuigen";"2009";"aantal";"2140281"
"||Totaal";"Totaal bedrijfsvoertuigen";"2010";"aantal";"2150951"
"||Totaal";"Totaal bedrijfsvoertuigen";"2011";"aantal";"2151150"
"||Totaal";"Totaal bedrijfsvoertuigen";"2012";"aantal";"2150483"
"||Totaal";"Totaal bedrijfsvoertuigen";"2013";"aantal";"2135589"
"||Totaal";"Totaal bedrijfsvoertuigen";"2014";"aantal";"2120393"
"||Totaal";"Totaal bedrijfsvoertuigen";"2015";"aantal";"2126236"
"||Totaal";"Totaal bedrijfsvoertuigen";"2016";"aantal";"2155173"
"||Totaal";"Totaal bedrijfsvoertuigen";"2017";"aantal";"2197250"
"||Totaal";"Totaal bedrijfsvoertuigen";"2018";"aantal";"2252134"
"||Totaal";"Totaal bedrijfsvoertuigen";"2019";"aantal";"2299373"
"||Totaal";"Bestelauto";"2000";"aantal";"696135"
"||Totaal";"Bestelauto";"2001";"aantal";"755776"
"||Totaal";"Bestelauto";"2002";"aantal";"797594"
"||Totaal";"Bestelauto";"2003";"aantal";"835710"
"||Totaal";"Bestelauto";"2004";"aantal";"866753"
"||Totaal";"Bestelauto";"2005";"aantal";"893455"
"||Totaal";"Bestelauto";"2006";"aantal";"862974"
"||Totaal";"Bestelauto";"2007";"aantal";"849348"
"||Totaal";"Bestelauto";"2008";"aantal";"862303"
"||Totaal";"Bestelauto";"2009";"aantal";"876170"
"||Totaal";"Bestelauto";"2010";"aantal";"872355"
"||Totaal";"Bestelauto";"2011";"aantal";"861250"
"||Totaal";"Bestelauto";"2012";"aantal";"849666"
"||Totaal";"Bestelauto";"2013";"aantal";"832121"
"||Totaal";"Bestelauto";"2014";"aantal";"815169"
"||Totaal";"Bestelauto";"2015";"aantal";"814954"
"||Totaal";"Bestelauto";"2016";"aantal";"828383"
"||Totaal";"Bestelauto";"2017";"aantal";"852632"
"||Totaal";"Bestelauto";"2018";"aantal";"883350"
"||Totaal";"Bestelauto";"2019";"aantal";"914766"
"||Totaal";"Vrachtauto (excl. trekker voor oplegger)";"2000";"aantal";"83153"
